millis,ir,red,green
547139,116965,94044,6189
547149,114579,92842,7819
547161,114536,92829,8048
547171,114501,92835,8079
547181,114598,92815,7182
547191,114594,92758,7187
547201,114576,92759,7178
547211,114561,92811,7197
547221,114539,92802,7317
547231,114545,92796,7387
547241,114543,92817,7521
547251,114535,92840,7890
547261,114542,92854,8104
547271,114540,92807,8177
547281,114537,92825,8315
547291,114539,92830,8090
547301,114538,92867,8076
547311,114525,92898,8052
547321,114544,92911,8018
547331,114543,92923,8039
547341,114544,92955,8053
547351,114578,92962,8056
547361,114594,92942,8082
547371,114579,92917,8079
547381,114572,92886,8083
547391,114579,92886,8114
547401,114576,92875,8137
547411,114581,92870,8107
547421,114543,92855,8143
547431,114546,92861,7703
547441,114568,92866,8415
547451,114578,92855,8178
547461,114583,92850,8134
547471,114571,92845,8231
547481,114557,92838,8089
547491,114563,92823,8063
547501,114565,92817,8056
547513,114528,92808,8075
547523,114512,92806,8068
547533,114596,92787,7197
547543,114553,92753,7187
547553,114526,92741,7837
547563,114457,92771,7967
547573,114409,92768,7301
547583,114395,92737,7449
547593,114404,92758,7590
547603,114424,92768,7770
547613,114446,92829,8116
547623,114458,92785,8192
547633,114478,92730,8139
547643,114477,92819,7971
547653,114484,92836,7978
547663,114489,92869,7987
547673,114486,92892,8066
547683,114498,92886,8021
547693,114514,92916,8057
547703,114530,92947,8054
547713,114563,92926,8066
547723,114569,92924,8047
547733,114576,92900,8046
547743,114585,92876,8095
547753,114579,92873,8117
547763,114604,92865,7960
547773,114581,92865,8123
547783,114577,92862,8161
547793,114603,92861,8248
547803,114620,92862,8180
547813,114623,92867,8216
547823,114621,92864,8104
547833,114631,92852,8193
547843,114619,92849,8074
547853,114635,92839,8195
547865,114582,92817,8065
547875,114559,92823,8080
547885,114673,92817,7183
547895,114662,92784,7981
547905,114652,92797,7967
547915,114637,92831,7859
547925,114624,92828,7874
547935,114609,92814,7400
547945,114604,92829,7665
547955,114610,92820,8067
547965,114579,92841,7987
547975,114584,92818,8219
547985,114580,92771,8123
547995,114575,92836,8081
548005,114578,92861,8082
548015,114578,92900,8041
548025,114576,92908,8043
548035,114570,92952,8047
548045,114615,92958,8053
548055,114628,92933,8055
548065,114641,92922,8071
548075,114632,92899,8063
548085,114636,92869,8083
548095,114636,92888,8127
548105,114615,92860,7976
548115,114557,92845,7820
548125,114351,92817,7834
548135,114135,92751,7577
548145,113998,92691,7979
548155,113909,92667,8130
548165,113868,92657,8062
548175,113900,92655,8163
548185,113968,92648,8056
548195,114062,92676,8158
548207,114124,92698,8047
548217,114220,92723,8041
548227,114365,92691,7937
548237,114413,92704,7810
548247,114422,92728,7823
548257,114399,92746,7812
548267,114406,92724,7351
548277,114412,92748,7589
548287,114409,92753,7787
548297,114402,92770,7946
548307,114398,92762,8229
548317,114385,92693,8124
548327,114384,92743,8085
548337,114364,92766,8070
548347,114340,92774,8206
548357,114326,92795,8052
548367,114317,92790,8056
548377,114329,92821,8061
548387,114375,92822,8070
548397,114389,92820,8048
548407,114398,92820,8044
548417,114419,92800,8075
548427,114443,92817,8149
548437,114485,92796,7989
548447,114516,92813,7889
548457,114501,92822,7807
548467,114543,92832,8245
548477,114588,92845,8191
548487,114621,92850,8136
548497,114643,92848,8057
548507,114649,92855,8075
548517,114668,92847,8090
548527,114664,92836,8159
548537,114672,92855,8032
548549,114646,92844,8053
548559,114639,92837,8061
548569,114717,92825,7177
548579,114725,92791,7170
548589,114715,92814,7184
548599,114685,92837,7231
548609,114660,92830,8106
548619,114658,92852,7882
548629,114643,92825,7853
548639,114630,92833,7939
548649,114632,92867,8104
548659,114607,92827,8195
548669,114603,92787,8124
548679,114591,92819,7970
548689,114555,92819,7966
548699,114450,92820,7972
548709,114170,92778,7916
548719,113750,92654,8032
548729,113369,92589,8022
548739,113164,92500,8014
548749,113137,92475,7994
548759,113162,92463,8005
548769,113261,92475,8033
548779,113396,92503,8066
548789,113593,92571,7988
548799,113772,92594,7896
548809,113915,92634,7773
548819,114032,92685,7718
548829,114194,92713,7973
548839,114262,92737,8163
548849,114315,92754,7609
548859,114349,92767,7981
548869,114391,92778,8149
